028012.png	1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
015146.jpg	0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
012629.jpg	0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026759.png	1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027447.png	1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020328.png	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
018462.jpg	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
007542.jpg	0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
026771.png	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012601.jpg	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
004063.jpg	0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
014270.jpg	0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
010016.jpg	0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
008659.jpg	0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
028589.jpg	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
011308.jpg	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
019754.jpg	0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
009221.jpg	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
025913.jpg	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
004705.jpg	0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
027309.png	1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
029324.png	0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
004711.jpg	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
019026.jpg	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
009235.jpg	0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
007218.jpg	0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
018338.jpg	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
010002.jpg	0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
029683.jpg	0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
008895.jpg	0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
016473.jpg	0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
018853.png	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
009786.png	0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
026765.png	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
004077.jpg	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
018660.png	0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
026956.png	1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001331.png	0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
